337233	yue	唔知聽日天氣會點呢？
343310	yue	我想搬去鄉下住。
344786	yue	你今日寫咗日記未呀？
345630	yue	諗諗吓我好似約咗佢五點見面喎。
345670	yue	最後一個關於握手嘅小貼士：記住笑。
345689	yue	佢走咗之後，佢就話咗佢個名俾我聽。
345889	yue	我今朝爭五分鐘就搭到八點半班火車。
346906	yue	有人喺呢本書到搣咗兩頁落嚟。
349726	yue	我哋次次都係去嗰度食！今次轉吓口味，去食法國嘢啦。
350549	yue	呢啲黏液可以當膠水用。
350661	yue	淨係得中國先有大熊貓。
350703	yue	如果佢撞車嗰陣戴咗安全帶，就唔會冇咗條命。
364850	yue	你有冇打火機呀？
364929	yue	你唔使趕住答。
382089	yue	你識唔識講英文？
382314	yue	多謝晒！
382315	yue	食咗飯未呀？
382319	yue	唔晒唔該。
382320	yue	唔該晒！
382475	yue	唔該你讓一讓我，好唔好啊？
382477	yue	你想走啦？
382478	yue	我今日撞到你好開心。
382479	yue	你識講上海話喎可？
382480	yue	佢都係推銷員。
382481	yue	麻煩晒你嘞。
382482	yue	佢係邊度嚟嘅人？
382483	yue	唔使啦，我自己行得啦。
382484	yue	噉搞今日就癐死你啦!
382485	yue	我唔知啊。
382486	yue	你最近身體好嘛？
382487	yue	我呢排好忙啊!
382488	yue	一、二、三、四、五、六、七、八、九、十。
382489	yue	你至少都講聲“多謝”啊。
382490	yue	冇事，唔使驚!
382491	yue	你仲有乜野要我幫忙吤？
382492	yue	自從我整親隻腳後，我就揸拐杖行路嘞。
382493	yue	時間唔早啦，我要番去啦。
382494	yue	哦，呢度你行得到？
382495	yue	請問你貴姓啊?
382496	yue	佢由杭州嚟㗎。
382497	yue	"多謝晒" "唔使"
382498	yue	人人生而自由,喺尊嚴同權利上一律平等。佢地有理性同良心,並且應該以兄弟關係嘅精神嚟互相對待。
382499	yue	呢個乜野嚟㗎。
382500	yue	生日快樂，Muriel!
382501	yue	多謝。
382502	yue	我有好多朋友。
385300	yue	佢塊面圓碌碌。
385301	yue	佢走咗去美國讀醫。
385303	yue	火燭呀！快啲走呀！
385304	yue	水結咗冰就會變做固體。
385305	yue	呢幅畫遠睇會靚啲。
385306	yue	攞你本字典出嚟查吓呢啲字啦。
385311	yue	呢本書對你嚟講可能難咗啲。
385313	yue	因為一分鐘就差唔多要四鎊。
385316	yue	我保證你一年之後就會加人工。
385319	yue	我而家喺牛津大學讀書。
385320	yue	後生仔應該尊重啲老人家。
385321	yue	學吓你家姐啦。
385333	yue	呢部機重得濟喇，我拎唔郁。
385338	yue	橫濱係日本第二大嘅城市。
385415	yue	同人哋握手嗰陣，一定要有眼神接觸。
385416	yue	你都唔揸車，要架車嚟做咩啫？
385449	yue	你覺得有幾多人真係識欣賞音樂？
385454	yue	阿 John 淨係返咗一日學，就已經同班同學玩到熟晒。
385472	yue	因為你唔夠努力，所以先會失敗。
385477	yue	天氣每日都喺度變緊。
385488	yue	呢個只不過係個藉口。
385509	yue	佢自己有間屋。
385512	yue	個法官判咗佢坐一年監。
385514	yue	我諗你一定好鍾意你份工喇！
385516	yue	唔使急，仲有大把時間。
385534	yue	我打爛咗你個煙灰缸。
385536	yue	你以前唔係噉講㗎喎。
385578	yue	呢啲資料未必可靠。
385580	yue	迷你裙已經 out 咗啦。
385582	yue	啲英國人唔會噉讀㗎。
385584	yue	張相係佢影嘅。
385586	yue	有好多女仔睇呢本小說睇到喊咗出嚟。
385587	yue	如果你想去美國讀書，就一定要申請張學生簽證先。
385590	yue	嗰條裙睇落好似好貴噉。
385592	yue	你應該同你阿爸阿媽傾吓先。
385594	yue	我諗都冇諗過會噉。
385595	yue	佢唔識分左右。
385600	yue	我突然間唔記得咗佢叫咩名。
385602	yue	一養成咗壞習慣，就好難改返正㗎喇。
385604	yue	呢本書值得一睇。
385606	yue	阿 Paul 啱啱打咗電話比我。
385608	yue	請你寫低你嘅真實經驗。
385611	yue	企喺窗口嗰個係咪你哋經理嚟㗎？
385612	yue	我行唔郁喇。
385613	yue	佢用十二秒就跑完一百米。
385614	yue	佢屋企喺邊？
385615	yue	我換咗窗簾之後，成間房睇落唔同晒。
385616	yue	我仲以為佢會嚟開會添。
385617	yue	佢哋一啲興趣都冇。
385619	yue	天主教係信耶穌嘅。
385654	yue	我諗我最好都係留喺呢度。
385657	yue	我個新髮型會唔會好怪？
385658	yue	佢已經同以前唔同咗喇。
385668	yue	佢好似好寂寞噉。
385670	yue	尋日我去咗河邊釣魚。
385671	yue	我哋走咗去公園影相。
385673	yue	熊貓係食竹嘅。
385676	yue	受到佢哋嘅熱烈歡迎。
385677	yue	你最近忙唔忙呀？
385682	yue	但係佢好好彩。
385686	yue	佢拎起支筆，然後就開始寫。
385689	yue	呢隻手錶有防震功能。
385698	yue	如果人人都識得關心環境嘅話，就唔會有噪音污染啦。
385916	yue	個男仔喺森林裏面蕩失咗路。
385917	yue	我哋一粒聲都唔出噉坐咗喺度。
385918	yue	呢個引擎最食油。
385919	yue	有人攞錯咗我對鞋嚟著。
385920	yue	佢好易攰。
385956	yue	我記得喺巴黎見過佢。
385958	yue	如果你聽日唔去釣魚，我都唔去喇。
385960	yue	我個喉嚨好似比火燒噉。
385962	yue	我覺得呢套戲值得一睇再睇。
385966	yue	你哋一定要遵守規則。
385979	yue	啲噪音愈嚟愈大聲。
385981	yue	我個肚喺度咕咕叫。
385983	yue	我今日唔使當值呀，不如一齊去沙灘玩吖。
385985	yue	我喺街度撞到個舊朋友。
385989	yue	佢儲咗一百蚊。
385991	yue	呢個會好緊要㗎，你唔好唔嚟呀。
385993	yue	唔係好多人有嚟。
385995	yue	我哋唔好喺度等喇，都係快啲返屋企啦。
385997	yue	如果可以投胎嘅話，我想喺個有錢家庭度出世，咁就成世唔使憂喇。
386016	yue	我一收到錢就即刻還錢俾你。
386020	yue	等我將我知嘅嘢話晒比你聽啦。
386023	yue	可唔可以舉幾個例子呀？
386296	yue	佢喺個演講比賽度攞咗冠軍。
